dataset,battery_name,window_start,mse,mae,rmse,mse_raw,mae_raw,rmse_raw
test_CALCE,CALCE_CX2_38,250,0.005370075888491957,0.07179184311202431,0.07328080163652659,0.005370075888491957,0.07179184311202431,0.07328080163652659
test_CALCE,CALCE_CX2_38,300,0.01510041544719721,0.12169503886969585,0.1228837476934896,0.01510041544719721,0.12169503886969585,0.1228837476934896
test_CALCE,CALCE_CX2_38,350,0.01071636737602902,0.10069212327938742,0.10351988879451629,0.01071636737602902,0.10069212327938742,0.10351988879451629
test_CALCE,CALCE_CX2_38,400,0.022705901976609502,0.14945611712449927,0.15068477685754955,0.022705901976609502,0.14945611712449927,0.15068477685754955
test_CALCE,CALCE_CX2_38,450,0.01411422281822603,0.11753159872537372,0.11880329464381882,0.01411422281822603,0.11753159872537372,0.11880329464381882
test_CALCE,CALCE_CX2_38,50,0.005222514376194667,0.06942999962025871,0.07226696600933698,0.005222514376194667,0.06942999962025871,0.07226696600933698
test_CALCE,CALCE_CX2_38,500,0.03236412091708753,0.17896754385188438,0.17990030827402026,0.03236412091708753,0.17896754385188438,0.17990030827402026
test_CALCE,CALCE_CX2_38,550,0.0015074713053409728,0.03147444857315104,0.038826167791078385,0.0015074713053409728,0.03147444857315104,0.038826167791078385
test_CALCE,CALCE_CX2_38,600,0.027825539741013972,0.16375707853045704,0.16680989101673188,0.027825539741013972,0.16375707853045704,0.16680989101673188
test_CALCE,CALCE_CX2_38,650,0.044229333045222245,0.2085515903179589,0.21030771037986754,0.044229333045222245,0.2085515903179589,0.21030771037986754
test_HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_a,0,0.0027930632212474853,0.04195951223101659,0.05284943917628157,0.0027930632212474853,0.04195951223101659,0.05284943917628157
test_HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_a,100,0.035048475486632105,0.18555232429939195,0.18721238069805135,0.035048475486632105,0.18555232429939195,0.18721238069805135
test_HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_a,150,0.03884893531253982,0.19556706647108385,0.19710133259960427,0.03884893531253982,0.19556706647108385,0.19710133259960427
test_HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_a,200,0.026731610809335404,0.1616525528731679,0.16349804527680264,0.026731610809335404,0.1616525528731679,0.16349804527680264
